track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,popularity_category,duration_minutes,explicit_label
0H4vXQojKCsEhSpkZR8zTx,Kidz Bop Kids,Para pedir dulces,I Want Candy,0.0,179172.0,False,0.733,0.958,2.0,-3.698,1.0,0.0546,0.00146,0.503,0.401,0.818,107.031,4.0,children,Low,2.99,Non-Explicit
6OiCTh3s5sQ8EndBDcBXS5,Kidz Bop Kids,Oh Santa! Kids Christmas Songs,Last Christmas,0.0,214989.0,False,0.727,0.812,1.0,-4.952,1.0,0.0281,0.0958,0.0,0.0514,0.777,105.992,4.0,children,Low,3.58,Non-Explicit
3qXmHFvLTCyVJufJ0DZqTr,Kidz Bop Kids,Diversión para los peques,Thunder,0.0,147560.0,False,0.684,0.83,10.0,-3.908,1.0,0.0465,0.0132,0.000203,0.258,0.82,167.91,4.0,children,Low,2.46,Non-Explicit
3gbFmrfuTsnR1ao3yA0vvn,Kidz Bop Kids,Para pedir dulces,Little Shop Of Horrors,0.0,165336.0,False,0.616,0.816,7.0,-6.376,1.0,0.0717,0.0452,0.0,0.409,0.873,77.968,4.0,children,Low,2.76,Non-Explicit
6HjhlfHliF7cmTiOr6asF3,Kidz Bop Kids,Diversión para los peques,Todo de Ti,0.0,151226.0,False,0.803,0.64,3.0,-4.832,0.0,0.0317,0.00701,6.78e-05,0.0925,0.735,127.951,4.0,children,Low,2.52,Non-Explicit
4vD9Wlh2VV52kFjt5rtHFz,Kidz Bop Kids,Halloween Party Canzoni per Bambini 2022,24K Magic,0.0,177226.0,False,0.849,0.745,8.0,-5.975,1.0,0.087,0.0414,0.0,0.388,0.674,106.968,4.0,children,Low,2.95,Non-Explicit
2YRKB8j4c3F7y3iz4umUGF,Kidz Bop Kids,Oh Santa! Kids Christmas Songs,The 12 Days Of Christmas,0.0,232122.0,False,0.634,0.923,2.0,-4.478,1.0,0.0517,0.0118,0.0,0.0607,0.883,134.856,3.0,children,Low,3.87,Non-Explicit
6VXMal8tPWfZl0KOIwp359,Kidz Bop Kids,Diversión para los peques,Blinding Lights,0.0,180666.0,False,0.606,0.775,0.0,-5.667,1.0,0.0531,0.008,4.01e-06,0.125,0.867,171.011,4.0,children,Low,3.01,Non-Explicit
2lq3d53NETfcilAy4DG2Ui,Kidz Bop Kids,Diversión para los peques,Levitating,0.0,186466.0,False,0.706,0.798,5.0,-4.733,0.0,0.0374,0.00416,0.00283,0.106,0.812,103.017,4.0,children,Low,3.11,Non-Explicit
66HnStZWn2gkmrOeaiwUu8,Kidz Bop Kids,Halloween y diversión para peques,Thriller,0.0,229020.0,False,0.675,0.972,6.0,-5.397,1.0,0.0898,0.014,0.000318,0.657,0.756,119.059,4.0,children,Low,3.82,Non-Explicit
4finiJ0gZEZbOSJpmTXcLM,Kidz Bop Kids,Para pedir dulces,"Scooby Doo, Where Are You?",0.0,112786.0,False,0.536,0.971,9.0,-5.194,1.0,0.095,0.00632,0.0,0.539,0.944,136.011,4.0,children,Low,1.88,Non-Explicit
4XNJbPCchL1rTnX0qEPy25,Kidz Bop Kids,Diversión para los peques,Party Rock Anthem,0.0,204933.0,False,0.686,0.742,9.0,-5.077,0.0,0.0768,0.00154,0.0,0.207,0.447,129.988,4.0,children,Low,3.42,Non-Explicit
7uc9m3U6n1zMqV0VmwHcOw,Kidz Bop Kids,Oh Santa! Kids Christmas Songs,Santa Claus Is Coming To Town,0.0,145760.0,False,0.543,0.933,7.0,-3.94,1.0,0.108,0.00178,0.0,0.0407,0.657,145.015,4.0,children,Low,2.43,Non-Explicit
2t3uxGREekqIPvQcOfRrTp,Kidz Bop Kids,Diversión para los peques,Tacones Rojos,0.0,188034.0,False,0.7,0.748,2.0,-5.53,0.0,0.0293,0.00265,0.0,0.234,0.929,122.95,4.0,children,Low,3.13,Non-Explicit
4yj3zc5NWNp8YOPJ9YoCfW,Kidz Bop Kids,Halloween y diversión para peques,Ghostbusters,0.0,200757.0,False,0.661,0.914,1.0,-5.207,0.0,0.0327,0.000176,0.0445,0.0802,0.788,120.058,4.0,children,Low,3.35,Non-Explicit
5CMZg2hW7bHEjxYfr5KJpS,Kidz Bop Kids,Oh Santa! Kids Christmas Songs,All I Want For Christmas Is You,0.0,195521.0,False,0.464,0.906,7.0,-1.985,1.0,0.0378,0.00286,0.0,0.293,0.305,149.842,4.0,children,Low,3.26,Non-Explicit
4sDkMUVExIMSec0ZZwwTsa,Kidz Bop Kids,Halloween y diversión para peques,Monster Mash,0.0,199266.0,False,0.641,0.808,7.0,-3.304,1.0,0.141,0.085,0.0,0.317,0.727,136.136,4.0,children,Low,3.32,Non-Explicit
6QC2HlTWEDInzdrRuIHLFv,Kidz Bop Kids,Oh Santa! Kids Christmas Songs,Rudolph The Red-Nosed Reindeer,0.0,155049.0,False,0.65,0.935,2.0,-4.407,1.0,0.0446,0.0107,0.0,0.319,0.72,133.027,4.0,children,Low,2.58,Non-Explicit
2MxcHt0mDDWDAxuw8niYCd,Kidz Bop Kids,Halloween y diversión para peques,I Want Candy,0.0,179172.0,False,0.733,0.958,2.0,-3.698,1.0,0.0546,0.00146,0.503,0.401,0.818,107.031,4.0,children,Low,2.99,Non-Explicit
2I4RbfFAwa6ScI0fbulcQo,Kidz Bop Kids,Halloween Kids Party 2022,Ding Dong The Witch Is Dead,0.0,162852.0,False,0.586,0.95,7.0,-4.373,1.0,0.0563,0.012,1.38e-05,0.204,0.817,123.979,4.0,children,Low,2.71,Non-Explicit
4HrhA7q8YdtAxasjzcaLV9,Kidz Bop Kids,Halloween y diversión para peques,"Scooby Doo, Where Are You?",0.0,112786.0,False,0.536,0.971,9.0,-5.194,1.0,0.095,0.00632,0.0,0.539,0.944,136.011,4.0,children,Low,1.88,Non-Explicit
4t9cpYT8AD3G2TGwSRQVDK,The Minions,Despicable Me 2 (Original Motion Picture Soundtrack),I Swear,63.0,98211.0,False,0.572,0.417,7.0,-8.807,1.0,0.0277,0.393,0.00402,0.13,0.129,85.259,4.0,children,High,1.64,Non-Explicit
17NymnDl7GVw0HvT6pXFKU,CoComelon,"CoComelon Kids Hits, Vol. 2",Bath Song,57.0,154087.0,False,0.837,0.306,2.0,-11.615,1.0,0.0719,0.387,0.0,0.0656,0.963,190.125,4.0,children,High,2.57,Non-Explicit
679VCjP1C3DBkVBEeB34yU,CoComelon,"CoComelon Kids Hits, Vol. 2",Finger Family,61.0,136002.0,False,0.816,0.565,9.0,-11.555,1.0,0.036,0.352,1.38e-05,0.0768,0.965,119.983,4.0,children,High,2.27,Non-Explicit
2iAyQQP5EKsv2wQfdfzNqq,LooLoo Kids,"The Best Songs for Kids, Vol. 1",BINGO,53.0,118627.0,False,0.85,0.849,2.0,-5.803,1.0,0.0289,0.332,2.42e-06,0.0693,0.94,100.975,4.0,children,High,1.98,Non-Explicit
7v9Z86eNCt9yUTk2Hy0uQk,CoComelon,Nursery Rhymes by CoComelon,Humpty Dumpty,47.0,128127.0,False,0.881,0.453,9.0,-10.504,1.0,0.0675,0.55,0.00594,0.0881,0.974,115.004,1.0,children,Moderate,2.14,Non-Explicit
2Gwr0pH5khUHZDhFpyM1iS,CoComelon,"CoComelon Kids Hits, Vol. 3",Peek a Boo,60.0,108208.0,False,0.864,0.277,0.0,-11.172,1.0,0.125,0.556,0.0115,0.0896,0.905,120.011,4.0,children,High,1.8,Non-Explicit
2AGvjBQyW8RMHIlUQ30ifd,Mellodees,ABC's Song,ABC's Song,60.0,94925.0,False,0.682,0.957,0.0,-1.588,1.0,0.0552,0.408,0.0293,0.338,0.565,133.991,4.0,children,High,1.58,Non-Explicit
5QbP4nDSdOT1XeIO02nNCF,CoComelon,Nursery Rhymes by CoComelon,Itsy Bitsy Spider,49.0,129761.0,False,0.919,0.289,2.0,-12.244,1.0,0.048,0.586,3.19e-06,0.075,0.866,100.042,4.0,children,Moderate,2.16,Non-Explicit
3fd7MTDoNDYsgtwA79s092,CoComelon,Nursery Rhymes by CoComelon,Old MacDonald,48.0,147147.0,False,0.704,0.479,1.0,-12.362,1.0,0.0348,0.292,1.14e-06,0.0419,0.936,199.841,4.0,children,Moderate,2.45,Non-Explicit
